,,,,,,,,,,,,,
,BUTTWELD FITTINGS  —  20 PRODUCTS,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1.  SS 304L / 316L 90° & 45° Buttweld Pipe Elbows,,,,,,,,,,,,
,Product ID,bw-ss-elbow,,,,,,,,,,,
,Sub-Category,Stainless Steel Buttweld Fittings,,,,,,,,,,,
,Card Spec Chips,ASME B16.9  |  Seamless & Welded  |  Sch 10S to Sch 160,,,,,,,,,,,
,Image File,/images/products/bw-ss-elbow.jpg,,,,,,,,,,,
,Price Shown (INR/Kg),₹320 INR / Kg,,,,,,,,,,,
,Data Source,PUBLISHED — real spec tables (SS 304/304L/304H Buttweld Fittings),,,,,,,,,,,
,Source Reference,https://www.champaksteel.com/stainless-steel-304-304l-304h-buttweld-fittings-manufacturer-exporter.html,,,,,,,,,,,
,Live Page,https://jyothi-metals.vercel.app/product-detail?id=bw-ss-elbow,,,,,,,,,,,
,,,,,,,,,,,,,
,TAB 1 — EQUIVALENT GRADES:  304/304L/304H Stainless Steel ASTM A403 Buttweld Fittings Equivalent Grades,,,,,,,,,,,,
,STANDARD,UNS,WNR.,AFNOR,EN,JIS,BS,GOST,,,,,
,Schedule,"SCH10, SCH20, SCH30, STD SCH40, SCH60, XS, SCH 80, SCH 100, SCH 120, SCH 140, SCH 160, XXS available with NACE MR 01-75",,,,,,,,,,,
,Bending Radius,"R=1D, 2D, 3D, 5D, 6D, 8D, 10D or Custom",,,,,,,,,,,
,Type,Seamless / ERW / Welded / Fabricated,,,,,,,,,,,
,Thickness,"20 Swg., 18 Swg., 16 Swg., 14 Swg., 12 Swg., 10 Swg., & Sch. 10, Sch. 40, Sch. 80 etc.",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,3.  SS 316/316L/316Ti Buttweld Fittings,,,,,,,,,,,,
,Product ID,stainless-steel-316-316l-316ti-buttweld-fittings,,,,,,,,,,,
,Sub-Category,Stainless Steel Buttweld Fittings,,,,,,,,,,,
,Card Spec Chips,ASME SA403  |  UNS S31600  |  W.Nr. 1.4401 / 1.4436,,,,,,,,,,,
,Image File,/images/products/stainless-steel-316-316l-316ti-buttweld-fittings.jpg,,,,,,,,,,,
,Price Shown (INR/Kg),₹320 INR / Kg,,,,,,,,,,,
,Data Source,PUBLISHED — real spec tables (Stainless Steel 316L Pipe Fittings),,,,,,,,,,,
,Source Reference,https://www.champaksteel.com/stainless-steel-316-316l-316ti-buttweld-fittings-manufacturer-exporter.html,,,,,,,,,,,
,Live Page,https://jyothi-metals.vercel.app/product-detail?id=stainless-steel-316-316l-316ti-buttweld-fittings,,,,,,,,,,,
,,,,,,,,,,,,,
,TAB 1 — EQUIVALENT GRADES:  316/316L/316Ti Stainless Steel ASTM A403 Buttweld Fittings Equivalent Grades,,,,,,,,,,,,
,STANDARD,UNS,WNR.,AFNOR,EN,JIS,BS,GOST,,,,,
,SS 316,S31600,1.4401 / 1.4436,Z7CND17-11-02,X5CrNiMo17-12-2 / X3CrNiMo17-13-3,SUS 316,316S31 / 316S33,-,,,,,
,SS 316L,S31603,1.4404 / 1.4435,Z3CND17-11-02 / Z3CND18-14-03,X2CrNiMo17-12-2 / X2CrNiMo18-14-3,SUS 316L,316S11 / 316S13,03Ch17N14M3 / 03Ch17N14M2,,,,,
,SS 316Ti,S31635,1.4571,Z6CNDT17-123,X6CrNiMoTi17-12-2,SUS 316Ti,320S31,08Ch17N13M2T,,,,,
,,,,,,,,,,,,,
,TAB 2 — CHEMICAL COMPOSITION:  Chemical Composition of SS 316/316L/316Ti Seamless and Welded Pipe Fittings,,,,,,,,,,,,
,Element,C,Mn,Si,P,S,Cr,Mo,Ni,N,,,
,316 (S31600),0.08 max,2.0 max,0.75 max,0.045 max,0.03 max,min: 16.0 max: 18.0,min: 2.0 max: 3.0,min: 10.0 max: 14.0,0.10 max,,,
,316L (S31603),0.03 max,2.0 max,0.75 max,0.045 max,0.03 max,min: 16.0 max: 18.0,min: 2.0 max: 3.0,min: 10.0 max: 14.0,0.10 max,,,
,316TI(S31635),-,-,-,-,-,16.0,2.00,10.0,-,,,
,,0.08,2,0.75,0.045,0.03,18.0,3.00,14.0,0.1,,,
,,,,,,,,,,,,,
,TAB 3 — MECHANICAL PROPERTIES:  Mechanical Properties Of ASME SA403 SS WP316 / 316L/ 316Ti Buttweld Pipe Fittings,,,,,,,,,,,,
,Grade,Tensile Strength ksi (min),Yield Strength 0.2% ksi (min),Elongation %,Hardness (Brinell) MAX,Hardness (Rockwell B) MAX,,,,,,,
,316,75,30,40,217,95,,,,,,,
,316L,70,25,40,217,95,,,,,,,
,316TI,515(Mpa),205(Mpa),35,205,75,,,,,,,
,,,,,,,,,,,,,
,TAB 4 — PHYSICAL PROPERTIES:  Physical Properties of ASTM A403 Stainless Steel 316/316L/316Ti Pipe Fittings,,,,,,,,,,,,
,Density lbₘ/in³,Thermal Conductivity (BTU/h ft. °F),Electrical Resistivity (in x 10⁻⁶),Modulus of Elasticity (psi x 10⁶,Coefficient of Thermal Expansion (in/in)/°F x 10⁻⁶,Specific Heat (BTU/lb/°F),Melting Range (°F),,,,,,
,0.29 at 68°F,100.8 at 68 212°F,29.1 at 68°F,29,8.9 at 32 to 212°F,0.108 at 68°F,2500 to 2550,,,,,,
,,,,,9.7 at 32 to 1000°F,0.116 at 200°F,,,,,,,
,,,,,11.1 at 32 to 1500°F,,,,,,,,
,,,,,,,,,,,,,
,TAB 5 — CERTIFIED APPLICATION INDUSTRIES,,,,,,,,,,,,
,1.  Petrochemical Industry,,,,,,,,,,,,
,2.  Oil and Gas Industry,,,,,,,,,,,,
,3.  Chemical Industry,,,,,,,,,,,,
,4.  Power Plant Industry,,,,,,,,,,,,
,5.  Energy Industry,,,,,,,,,,,,
,6.  Pharmaceuticals Industry,,,,,,,,,,,,
,7.  Pulp & Paper Industry,,,,,,,,,,,,
,8.  Food Processing Industry,,,,,,,,,,,,
,9.  Aerospace Industry,,,,,,,,,,,,
,10.  Refining Industry,,,,,,,,,,,,
,,,,,,,,,,,,,
,MANUFACTURING STANDARDS & SPECIFICATION:  Specification of SS 316/316L/316Ti Buttweld Fittings,,,,,,,,,,,,
,Specifications,ASTM A403 / ASME SA403,,,,,,,,,,,
